name,address,locality,coordinates.latitude+,coordinates.longitude+,hours.sun,hours.mon,hours.tue,hours.wed,hours.thu,hours.fri,hours.sat
Chipotle Mexican Grill,"3881 Valley Centre Drive, San Diego 92130",Carmel Valley,32.9374628,-117.2303132,,,,,,,
Chipotle Mexican Grill,"8005 Fletcher Parkway, La Mesa 91942",La Mesa,32.7736397,-117.0269128,,,,,,,
Chipotle Mexican Grill,"1025 Camino De La Reina, San Diego 92108",Mission Valley,32.768105,-117.1528616,,,,,,,
Chipotle Mexican Grill,"2750 Bauer Road, San Diego 92126",Miramar,32.887612,-117.1328221,,,,,,,
Chipotle Mexican Grill,"5500 Campanile Drive, San Diego 92182",College Area,32.776678,-117.06869,,,,,,,
Chipotle Mexican Grill,"2710 Via De La Valle, Del Mar 92014",Del Mar,32.9813431,-117.2499961,,,,,,,
Chipotle Mexican Grill,"5650 Balboa Avenue, San Diego 92111",Clairemont,32.8204876,-117.1789087,,,,,,,
Chipotle Mexican Grill,"1504 Garnet Avenue, San Diego 92109",Pacific Beach,32.79958,-117.242516,,,,,,,
Chipotle Mexican Grill,"10550 Craftsman Way, San Diego 92127",Rancho Bernardo,33.0198945,-117.1107478,,,,,,,
Chipotle Mexican Grill,"11134 Rancho Carmel Drive, San Diego 92128",Carmel Mountain,32.9797378,-117.0826532,,,,,,,
Chipotle Mexican Grill,"13495 Poway Road, Poway 92064",Poway,32.956206,-117.038453,,,,,,,
Chipotle Mexican Grill,"1201 E Valley Parkway, Escondido 92027",Escondido,33.130164,-117.0664722,,,,,,,
Chipotle Mexican Grill,"12098 Fury Lane, El Cajon 92019",El Cajon,32.7435984,-116.9338113,,,,,,,
Chipotle Mexican Grill,"3030 Plaza Bonita Road, National City 91950",National City,32.656186,-117.065741,,,,,,,
Chiquita's Mexican Food,"4110 Home Ave, San Diego 92105",Oak Park,32.723532,-117.107412,,,,,,,
Chito's Taco Shop,"3440 Del Lago Blvd, Escondido 92029",Escondido,33.070804,-117.071083,,,,,,,
Churros El Tigre,"4211 Camino De La Plaza, San Diego 92173",San Ysidro,32.5439834,-117.0429137,,,,,,,
Cidalia's Food Truck,"680 Picador Blvd, San Diego 92154",East Village,32.582184,-117.062198,,,,,,,
"Citlalli: ""The Morning Star""","7327 University Ave., La Mesa 91942",La Mesa,32.7558842,-117.0397244,,,,,,,
City Tacos,"3028 University Avenue, San Diego 92104",North Park,32.748739,-117.1294139,,,,,,,
Coasterra Restaurant,"880 Harbor Island Drive, San Diego 92101",Point Loma,32.7240889,-117.1885683,,,,,,,
Coliman Mexican Food,"1460 S 43rd St, San Diego 92113",Mountain View,32.690944,-117.102662,,,,,,,
Colima's Mexican Food,"2302 University Avenue, San Diego 92104",North Park,32.748619,-117.139805,,,,,,,
Colima's Mexican Food,"4102 Bonita Road, Bonita 91902",Bonita,32.659057,-117.038752,,,,,,,
Consuelo's Authentic Mexican,"10006 Scripps Ranch Blvd, San Diego 92131",Scripps Ranch,32.903507,-117.099221,,,,,,,
Copa Cabana Bar & Grill,"7826 Broadway, Lemon Grove 91945",Lemon Grove,32.743088,-117.02989,,,,,,,
Coronado Cafe,"801 National City Blvd, National City 91950",National City,32.6754198,-117.1064905,,,,,,,
